locus,plasmid_amount_ng,LB,carb
negative_control,10,1070000000,0
negative_control,10,1060000000,1
hisA,10,950000000,0
hisA,10,940000000,1
hisA,10,870000000,1
metX,10,1240000000,4
metX,10,900000000,1
metX,10,870000000,0
negative_control,200,880000000,6
negative_control,200,1030000000,4
hisA,200,1210000000,51
hisA,200,770000000,25
hisA,200,1070000000,36
metX,200,1010000000,31
metX,200,950000000,25
metX,200,930000000,28
negative_control,500,990000000,18
negative_control,500,910000000,16
hisA,500,910000000,190
hisA,500,1040000000,150
hisA,500,800000000,360
metX,500,890000000,310
metX,500,820000000,480
metX,500,670000000,390
negative_control,1000,990000000,22
negative_control,1000,830000000,33
hisA,1000,1120000000,440
hisA,1000,1000000000,320
hisA,1000,790000000,440
metX,1000,780000000,440
metX,1000,740000000,480
metX,1000,820000000,390
