strain,locus,drug,MIC,notes
PAO1,WT,Levo,1,
PAO1,mexA,Levo,0.25,
PAO1,mexC,Levo,1,
PA14,WT,Levo,1,
PA14,mexA,Levo,0.5,
PA14,mexC,Levo,1,
3301,WT,Levo,8,
3301,mexA,Levo,2,
3301,mexC,Levo,8,
PAO1,WT,PipT,4,
PAO1,mexA,PipT,8,
PAO1,mexC,PipT,16,>8
PA14,WT,PipT,8,
PA14,mexA,PipT,16,>8
PA14,mexC,PipT,16,>8
3301,WT,PipT,8,
3301,mexA,PipT,16,>8
3301,mexC,PipT,8,
PAO1,WT,Cef,2,
PAO1,mexA,Cef,1,
PAO1,mexC,Cef,4,
PA14,WT,Cef,4,
PA14,mexA,Cef,1,
PA14,mexC,Cef,4,
3301,WT,Cef,8,
3301,mexA,Cef,2,
3301,mexC,Cef,8,
