"","strand","stop_pos","n","max_njunc","mean_njunc","mean_qwidth","mean_width","min_mapq","mean_mapq","file_name"
"1","+",29259,5,0,0,29.4,29.4,44,44,"LB-1_R1_ASV.bam"
"2","+",51245,1,0,0,25,25,44,44,"LB-1_R1_ASV.bam"
"3","+",190604,4,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"4","+",279938,22,0,0,28.9545454545455,27.9545454545455,17,23.3636363636364,"LB-1_R1_ASV.bam"
"5","+",421002,824,0,0,27.8021844660194,27.7293689320388,22,43.5728155339806,"LB-1_R1_ASV.bam"
"6","+",459851,1,0,0,31,25,22,22,"LB-1_R1_ASV.bam"
"7","+",461080,1905,0,0,27.7989501312336,27.7884514435696,22,43.7580052493438,"LB-1_R1_ASV.bam"
"8","+",461081,5,0,0,29.2,28.2,36,41.4,"LB-1_R1_ASV.bam"
"9","+",461082,11,0,0,28.9090909090909,26.8181818181818,22,36.7272727272727,"LB-1_R1_ASV.bam"
"10","+",461083,1,0,0,26,23,22,22,"LB-1_R1_ASV.bam"
"11","+",612546,16,0,0,31,24,22,22,"LB-1_R1_ASV.bam"
"12","+",647194,8,0,0,27.5,27.5,24,41.5,"LB-1_R1_ASV.bam"
"13","+",649127,2401,0,0,27.6180758017493,27.609745939192,22,43.3773427738442,"LB-1_R1_ASV.bam"
"14","+",649128,1,0,0,25,24,36,36,"LB-1_R1_ASV.bam"
"15","+",649130,64,0,0,26.890625,24.890625,22,29.5,"LB-1_R1_ASV.bam"
"16","+",649132,2,0,0,29,24.5,22,23,"LB-1_R1_ASV.bam"
"17","+",694399,1,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"18","+",695605,2,0,0,26,26,44,44,"LB-1_R1_ASV.bam"
"19","+",714968,15,0,0,26.2,26.2,44,44,"LB-1_R1_ASV.bam"
"20","+",719522,329,0,0,28.9908814589666,28.9908814589666,24,43.9088145896657,"LB-1_R1_ASV.bam"
"21","+",748610,51,0,0,28,28,22,43.5686274509804,"LB-1_R1_ASV.bam"
"22","+",997822,123,0,0,27.4471544715447,27.4471544715447,44,44,"LB-1_R1_ASV.bam"
"23","+",1018496,3,0,0,29.6666666666667,26.6666666666667,22,31.3333333333333,"LB-1_R1_ASV.bam"
"24","+",1054723,621,0,0,27.0354267310789,27.0305958132045,22,43.4653784219002,"LB-1_R1_ASV.bam"
"25","+",1054725,1,0,0,27,25,36,36,"LB-1_R1_ASV.bam"
"26","+",1263298,13,0,0,26.3846153846154,26.3846153846154,44,44,"LB-1_R1_ASV.bam"
"27","+",1705983,5,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"28","+",1722572,15,0,0,31,24,22,22,"LB-1_R1_ASV.bam"
"29","+",1813983,82,0,0,27.1707317073171,27.0975609756098,22,42.6829268292683,"LB-1_R1_ASV.bam"
"30","+",2233277,11772,0,0,27.5466360856269,27.5340638803942,22,43.6038056405029,"LB-1_R1_ASV.bam"
"31","+",2233279,6,0,0,30.3333333333333,28.3333333333333,36,41,"LB-1_R1_ASV.bam"
"32","+",2233280,2,0,0,31,28,36,36,"LB-1_R1_ASV.bam"
"33","+",2247187,19,0,0,27.2631578947368,24.2631578947368,22,23.4736842105263,"LB-1_R1_ASV.bam"
"34","+",2607843,2916,0,0,27.5253772290809,27.522633744856,22,43.6189986282579,"LB-1_R1_ASV.bam"
"35","+",2607844,1,0,0,25,24,36,36,"LB-1_R1_ASV.bam"
"36","+",2607846,1,0,0,26,23,22,22,"LB-1_R1_ASV.bam"
"37","+",2666169,20,0,0,31,24,22,22,"LB-1_R1_ASV.bam"
"38","+",2729624,3,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"39","+",2794149,2,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"40","+",2894817,1,0,0,26,26,44,44,"LB-1_R1_ASV.bam"
"41","+",3105485,2,0,0,25,25,44,44,"LB-1_R1_ASV.bam"
"42","+",3285652,43,0,0,29.1860465116279,25.1860465116279,22,25.0697674418605,"LB-1_R1_ASV.bam"
"43","+",3660471,4187,0,0,27.7048005732028,27.7002627179365,22,43.6544064962981,"LB-1_R1_ASV.bam"
"44","+",3660472,3,0,0,27.3333333333333,26.3333333333333,36,40.3333333333333,"LB-1_R1_ASV.bam"
"45","+",3660473,8,0,0,29.625,27.625,22,37.25,"LB-1_R1_ASV.bam"
"46","+",3688550,454,0,0,27.773127753304,27.647577092511,22,42.0330396475771,"LB-1_R1_ASV.bam"
"47","+",3688552,1,0,0,27,25,36,36,"LB-1_R1_ASV.bam"
"48","+",3913659,1,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
"49","+",3913660,111149,0,0,27.6299112002807,27.6206803480013,22,43.6140496090833,"LB-1_R1_ASV.bam"
"50","+",3913661,126,0,0,27.1190476190476,26.1111111111111,22,39.8809523809524,"LB-1_R1_ASV.bam"
"51","+",3913662,41,0,0,28.7317073170732,26.7317073170732,22,33.2682926829268,"LB-1_R1_ASV.bam"
"52","+",3913663,44,0,0,28.1818181818182,25.1590909090909,22,26.7727272727273,"LB-1_R1_ASV.bam"
"53","+",3913665,23,0,0,28.9130434782609,24.6521739130435,22,23.8260869565217,"LB-1_R1_ASV.bam"
"54","+",4033284,53,0,0,27.1320754716981,27.1320754716981,44,44,"LB-1_R1_ASV.bam"
"55","+",4207746,7,0,0,27.1428571428571,27.1428571428571,44,44,"LB-1_R1_ASV.bam"
"56","+",4275979,6,0,0,26,26,44,44,"LB-1_R1_ASV.bam"
"57","+",4294713,2,0,0,27,25,36,36,"LB-1_R1_ASV.bam"
"58","+",4377951,1,0,0,27,27,44,44,"LB-1_R1_ASV.bam"
