"","strand.first","stop_pos","n","mean_qwidth","min_mapq","mean_mapq","file_name"
"1","+",29259,4,30,3,23.75,"LB-1_ASV.bam"
"2","+",51245,1,25,0,0,"LB-1_ASV.bam"
"3","+",421002,418,28.1315789473684,0,26.1842105263158,"LB-1_ASV.bam"
"4","+",647194,2,27,3,3,"LB-1_ASV.bam"
"5","+",649127,1007,27.5312810327706,0,28,"LB-1_ASV.bam"
"6","+",695605,2,26,42,42,"LB-1_ASV.bam"
"7","+",714968,13,26.3846153846154,0,31.6923076923077,"LB-1_ASV.bam"
"8","+",1054723,209,28.311004784689,0,33.6076555023923,"LB-1_ASV.bam"
"9","+",1813983,57,27.280701754386,0,29,"LB-1_ASV.bam"
"10","+",2233277,5705,27.7539000876424,0,28.2418930762489,"LB-1_ASV.bam"
"11","+",2607843,1381,27.7342505430847,0,27.9746560463432,"LB-1_ASV.bam"
"12","+",3105485,2,25,0,0,"LB-1_ASV.bam"
"13","+",3660471,673,27.9316493313522,0,33.3283803863299,"LB-1_ASV.bam"
"14","+",3688550,15,25.9333333333333,0,0,"LB-1_ASV.bam"
"15","+",3913660,48462,27.8698980644629,0,27.6824109611654,"LB-1_ASV.bam"
"16","+",3913661,1,26,42,42,"LB-1_ASV.bam"
"17","+",4275979,6,26,42,42,"LB-1_ASV.bam"
"18","+",4377951,1,27,0,0,"LB-1_ASV.bam"
"19","+",4787492,6,27.8333333333333,3,35.5,"LB-1_ASV.bam"
"20","+",5056992,2,26,3,22.5,"LB-1_ASV.bam"
"21","+",5174422,465,27.7827956989247,0,28.2688172043011,"LB-1_ASV.bam"
"22","+",5310832,3,25,3,17.6666666666667,"LB-1_ASV.bam"
"23","+",5383318,12,28.1666666666667,3,27,"LB-1_ASV.bam"
"24","+",5562276,3,31,42,42,"LB-1_ASV.bam"
"25","+",5599358,16,30.75,3,21.3125,"LB-1_ASV.bam"
"26","+",5599359,61481,27.8109659894927,0,27.5231534945756,"LB-1_ASV.bam"
"27","+",5599360,33,28.030303030303,0,25.5454545454545,"LB-1_ASV.bam"
"28","+",5599372,5,26.8,3,34.2,"LB-1_ASV.bam"
"29","+",5621133,154,28.2597402597403,0,28.9415584415584,"LB-1_ASV.bam"
"30","+",5805541,6,25.3333333333333,3,24.1666666666667,"LB-1_ASV.bam"
"31","+",5813466,135812,27.7749683385857,0,27.1464156333755,"LB-1_ASV.bam"
"32","+",5843615,389,27.2647814910026,0,31.6246786632391,"LB-1_ASV.bam"
"33","+",6003718,2,25,42,42,"LB-1_ASV.bam"
"34","+",6171081,4,25.75,0,31.5,"LB-1_ASV.bam"
"35","+",6526692,68,27,0,33.6470588235294,"LB-1_ASV.bam"
"36","+",6535075,8504,27.7491768579492,0,28.0959548447789,"LB-1_ASV.bam"
"37","+",6535076,38,26.8157894736842,8,28.9736842105263,"LB-1_ASV.bam"
"38","-",6689,136,27.8823529411765,0,29.1985294117647,"LB-1_ASV.bam"
"39","-",6691,103,27.5242718446602,0,28.5728155339806,"LB-1_ASV.bam"
"40","-",6692,193063,27.7893122970222,0,27.6998596313121,"LB-1_ASV.bam"
"41","-",29073,58,28.1896551724138,0,0,"LB-1_ASV.bam"
"42","-",436266,2829,27.7469070342877,0,25.5164369034995,"LB-1_ASV.bam"
"43","-",436269,1,31,0,0,"LB-1_ASV.bam"
"44","-",436270,508149,27.7896699590081,0,28.2251072028086,"LB-1_ASV.bam"
"45","-",624374,400,27.99,0,26.1575,"LB-1_ASV.bam"
"46","-",750273,12,27.8333333333333,3,28.25,"LB-1_ASV.bam"
"47","-",754526,3,26,42,42,"LB-1_ASV.bam"
"48","-",754538,41224,27.8244226664079,0,27.9965554046187,"LB-1_ASV.bam"
"49","-",1241370,296,27.7466216216216,0,26.6993243243243,"LB-1_ASV.bam"
"50","-",1417102,169,27.8402366863905,0,31.1360946745562,"LB-1_ASV.bam"
"51","-",1431067,27567,27.8644030906519,0,27.7568832299489,"LB-1_ASV.bam"
"52","-",1483949,1,25,42,42,"LB-1_ASV.bam"
"53","-",1483950,20912,27.7476568477429,0,26.2313982402448,"LB-1_ASV.bam"
"54","-",2017516,194,27.7061855670103,0,28.6237113402062,"LB-1_ASV.bam"
"55","-",2068799,341,28.1378299120235,0,24.7947214076246,"LB-1_ASV.bam"
"56","-",2199254,4883,27.7978701617858,0,28.988941224657,"LB-1_ASV.bam"
"57","-",2258565,1,25,0,0,"LB-1_ASV.bam"
"58","-",2258566,83875,27.8174545454545,0,28.9858837555887,"LB-1_ASV.bam"
"59","-",2259947,854,27.6861826697892,0,28.1182669789227,"LB-1_ASV.bam"
"60","-",2354142,8,29.125,23,37.25,"LB-1_ASV.bam"
"61","-",2658566,37,28.027027027027,3,31.7297297297297,"LB-1_ASV.bam"
"62","-",3298549,1,31,42,42,"LB-1_ASV.bam"
"63","-",3699636,4562,27.8603682595353,0,26.7220517316966,"LB-1_ASV.bam"
"64","-",4033308,6,28.8333333333333,0,22.8333333333333,"LB-1_ASV.bam"
"65","-",4297125,8,28.125,3,24.375,"LB-1_ASV.bam"
"66","-",4397591,18,28.3333333333333,0,33.4444444444444,"LB-1_ASV.bam"
"67","-",4399101,60,28.45,0,17.2,"LB-1_ASV.bam"
"68","-",4399102,168504,27.8275767934292,0,27.064609742202,"LB-1_ASV.bam"
"69","-",4855157,15,27.7333333333333,0,22.4,"LB-1_ASV.bam"
"70","-",5157951,24,26.7083333333333,0,13.3333333333333,"LB-1_ASV.bam"
"71","-",5612491,3,27,3,3,"LB-1_ASV.bam"
"72","+",127907,15,28.6666666666667,8,35.2,"LB-1_LAA.bam"
"73","+",647194,4,26,42,42,"LB-1_LAA.bam"
"74","+",647195,11,26.9090909090909,0,32,"LB-1_LAA.bam"
"75","+",1054723,1334,27.8628185907046,0,30.8995502248876,"LB-1_LAA.bam"
"76","+",2233277,2486,27.8833467417538,0,29.120273531778,"LB-1_LAA.bam"
"77","+",2607844,95,27.6526315789474,0,31.7157894736842,"LB-1_LAA.bam"
"78","+",3913660,28,27,0,23.6785714285714,"LB-1_LAA.bam"
"79","+",3913661,2,27,0,0,"LB-1_LAA.bam"
"80","+",5174422,784,27.843112244898,0,25.9209183673469,"LB-1_LAA.bam"
"81","+",5599359,30,27.9333333333333,0,28.7666666666667,"LB-1_LAA.bam"
"82","+",5599372,815,27.8085889570552,0,26.0490797546012,"LB-1_LAA.bam"
"83","+",5621133,24,27.7083333333333,3,37.3333333333333,"LB-1_LAA.bam"
"84","+",5813466,109,27.9449541284404,0,31.0733944954128,"LB-1_LAA.bam"
"85","+",5813467,34,26.9411764705882,3,32.9705882352941,"LB-1_LAA.bam"
"86","+",6535075,2,25.5,3,22.5,"LB-1_LAA.bam"
"87","+",6535076,564,27.895390070922,0,28.491134751773,"LB-1_LAA.bam"
"88","-",6692,97,27.7731958762887,0,29.7938144329897,"LB-1_LAA.bam"
"89","-",436266,6,26,0,0,"LB-1_LAA.bam"
"90","-",436270,233,28.0901287553648,0,26.7424892703863,"LB-1_LAA.bam"
"91","-",750273,10793,27.7785601778931,0,29.0012971370333,"LB-1_LAA.bam"
"92","-",754538,37,26.972972972973,0,24.027027027027,"LB-1_LAA.bam"
"93","-",1241370,807,27.90458488228,0,29.5861214374226,"LB-1_LAA.bam"
"94","-",1431067,19,28.1578947368421,0,23.2631578947368,"LB-1_LAA.bam"
"95","-",1483950,16,27.9375,0,25.1875,"LB-1_LAA.bam"
"96","-",2068799,200947,27.8321846058911,0,28.0205278008629,"LB-1_LAA.bam"
"97","-",2199254,2,29,42,42,"LB-1_LAA.bam"
"98","-",2258565,1110,27.9702702702703,0,31.1846846846847,"LB-1_LAA.bam"
"99","-",2258566,30,26.5666666666667,0,18.1666666666667,"LB-1_LAA.bam"
"100","-",2713104,16,29.4375,0,16.25,"LB-1_LAA.bam"
"101","-",4399102,87,27.5057471264368,0,30.6206896551724,"LB-1_LAA.bam"
"102","-",5157951,24,26.1666666666667,0,25.8333333333333,"LB-1_LAA.bam"
"103","-",5930007,3,26,3,6.33333333333333,"LB-1_LAA.bam"
"104","+",50490,1,31,42,42,"LB-1_LVA.bam"
"105","+",647194,2,26.5,42,42,"LB-1_LVA.bam"
"106","+",647195,16,30.3125,0,0,"LB-1_LVA.bam"
"107","+",748311,2,27,0,21,"LB-1_LVA.bam"
"108","+",1054723,638,28.0815047021944,0,24.0094043887147,"LB-1_LVA.bam"
"109","+",2233277,8029,27.751401170756,0,30.1789762112343,"LB-1_LVA.bam"
"110","+",2321173,1,26,42,42,"LB-1_LVA.bam"
"111","+",2607844,1,31,42,42,"LB-1_LVA.bam"
"112","+",3913660,16,29.0625,3,29.625,"LB-1_LVA.bam"
"113","+",3913661,1614,27.7354399008674,0,26.9262701363073,"LB-1_LVA.bam"
"114","+",4216486,1,27,42,42,"LB-1_LVA.bam"
"115","+",5174422,130,28.0846153846154,0,28.6307692307692,"LB-1_LVA.bam"
"116","+",5599358,1464,27.7110655737705,0,27.478825136612,"LB-1_LVA.bam"
"117","+",5599359,47,27.6595744680851,0,28.1276595744681,"LB-1_LVA.bam"
"118","+",5621133,71,28.0985915492958,0,29.9718309859155,"LB-1_LVA.bam"
"119","+",5813466,110,27.2727272727273,0,23.0636363636364,"LB-1_LVA.bam"
"120","+",6535076,2,31,42,42,"LB-1_LVA.bam"
"121","-",6691,1,27,24,24,"LB-1_LVA.bam"
"122","-",6692,94,28.0212765957447,0,26.4893617021277,"LB-1_LVA.bam"
"123","-",228618,1,26,8,8,"LB-1_LVA.bam"
"124","-",436266,1,27,8,8,"LB-1_LVA.bam"
"125","-",436270,174,27.2126436781609,0,27.5229885057471,"LB-1_LVA.bam"
"126","-",624372,26,28.4615384615385,0,29.5384615384615,"LB-1_LVA.bam"
"127","-",624374,3,27,24,24,"LB-1_LVA.bam"
"128","-",750273,6,26.5,3,35.5,"LB-1_LVA.bam"
"129","-",754538,35,27.4857142857143,3,23.6571428571429,"LB-1_LVA.bam"
"130","-",1241370,1045,27.7617224880383,0,26.888995215311,"LB-1_LVA.bam"
"131","-",1431066,1,27,40,40,"LB-1_LVA.bam"
"132","-",1431067,7,27.5714285714286,0,22.1428571428571,"LB-1_LVA.bam"
"133","-",1483950,10,27.1,42,42,"LB-1_LVA.bam"
"134","-",2068799,195419,27.8034070382102,0,28.5042191393877,"LB-1_LVA.bam"
"135","-",2199254,30,26.7,0,33.4666666666667,"LB-1_LVA.bam"
"136","-",2258566,32,27.8125,0,31.75,"LB-1_LVA.bam"
"137","-",3699635,6,27.5,42,42,"LB-1_LVA.bam"
"138","-",3699636,2,28,3,3,"LB-1_LVA.bam"
"139","-",4397591,76,27.75,8,35.4868421052632,"LB-1_LVA.bam"
"140","-",4399101,230,27.9434782608696,0,19.4608695652174,"LB-1_LVA.bam"
"141","-",4399102,48,28.0208333333333,0,27.8541666666667,"LB-1_LVA.bam"
"142","-",5157951,2,25,40,41,"LB-1_LVA.bam"
"143","-",5719628,1,25,3,3,"LB-1_LVA.bam"
"144","+",461080,213,25.0657276995305,0,28.5633802816901,"LB-1_stop.bam"
"145","+",638545,3,147,42,42,"LB-1_stop.bam"
"146","+",647194,33158,24.6919898666988,0,26.0866759153146,"LB-1_stop.bam"
"147","+",649127,2661,24.6839534009771,0,26.1461856444946,"LB-1_stop.bam"
"148","+",1054723,143,24.034965034965,0,20.0909090909091,"LB-1_stop.bam"
"149","+",1713116,2,147,42,42,"LB-1_stop.bam"
"150","+",2233277,1674,24.7771804062127,0,27.7879330943847,"LB-1_stop.bam"
"151","+",2607843,1,24,42,42,"LB-1_stop.bam"
"152","+",2822239,5,28,23,23,"LB-1_stop.bam"
"153","+",3072224,5,147,42,42,"LB-1_stop.bam"
"154","+",3660471,3,23,23,35.6666666666667,"LB-1_stop.bam"
